Luke source,flag,fielding.start,fielding.end,pollster,source,interview.mode,publisher,publication.date,sample,DKrefused.reported,DKrefused.combined,DK.reported,DK,refused.reported,refused,Coalition.TPP.reported,Labor.TPP.reported,Coalition.TPP.previouselectionallocation,Labor.TPP.previouselectionallocation,Coalition.TPP.voterallocation,Labor.TPP.voterallocation,Coalition.total.primary,Liberal.primary,National.primary,Labor.primary,Green.primary,FamilyFirst.primary,Democrats.primary,OneNation.primary,XenophonCentreAlliance.primary,UAP.PUP.primary,KattersAustraliaParty.primary,Independent.primary,Other.primary,undecided.primary,sampleSize.published
,FALSE,14/12/09,20/12/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_211209.pdf,online,,,942,,,,,,,43,57,,,,,37,34,3,47,8,2,0,0,,,,,6,,1884
,FALSE,12/1/10,17/1/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_180110.pdf,online,,,957.5,,,,,,,44,56,,,,,38,35,3,45,8,2,0,0,,,,,7,,1915
,FALSE,18/1/10,24/1/10,Essential,http://blogs.crikey.com.au/pollytics/files/2010/01/Essential-Report_250110.pdf,online,,,964,,,,,,,44,56,,,,,36,34,2,46,8,2,0,0,,,,,7,,1928
,FALSE,26/1/10,29/1/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_010210.pdf,online,,,968.5,,,,,,,44,56,,,,,38,35,3,45,9,2,0,0,,,,,6,,1937
,FALSE,2/2/10,7/2/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_080210.pdf,online,,,934,,,,,,,45,55,,,,,38,35,3,44,10,2,0,0,,,,,6,,1868
,FALSE,9/2/10,14/2/10,Essential,http://blogs.crikey.com.au/pollbludger/files/2010/02/Essential-Report_150210.pdf,online,,,915,,,,,,,45,55,,,,,38,36,2,44,10,2,0,0,,,,,6,,1830
,FALSE,16/2/10,21/2/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_220210.pdf,online,,,917,,,,,,,46,54,,,,,40,37,3,43,8,2,0,0,,,,,7,,1834
,FALSE,23/2/10,28/2/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_010310.pdf,online,,,908,,,,,,,47,53,,,,,40,37,3,42,9,2,0,0,,,,,7,,1816
,FALSE,2/3/10,7/3/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_090310.pdf,online,,,944.5,,,,,,,46,54,,,,,40,37,3,43,9,2,0,0,,,,,7,,1889
,FALSE,10/3/10,14/3/10,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_150310.pdf,online,,,954,,,,,,,44,56,,,,,38,35,3,45,9,2,0,0,,,,,6,,1908
